3088330000020,1008.0,1008.0,0.0
0132310360023,1014.0,2315.0,0.0
3029170010740,1016.0,1016.0,0.0
3088280000010,1016.0,1016.0,0.0
2812350500010,1019.0,1019.0,0.0
3660160000028,1031.0,1031.0,0.0
2822100660024,1032.0,1032.0,0.0
1422350054150,1046.0,1046.0,0.0
2720330490020,1050.0,1050.0,0.0
0131340450112,1050.0,5875.0,0.0
0131340450400,1050.0,5875.0,0.0
0131340450480,1050.0,5875.0,0.0
0131340450500,1050.0,5875.0,0.0
0131340450620,1050.0,5875.0,0.0
0132310000015,1050.0,1050.0,0.0
3029190010100,1060.0,1060.0,0.0
3411340090030,1064.0,1064.0,0.0
3047120010005,1080.0,1080.0,0.0
0232110072060,1088.0,1088.0,0.0
3069140000429,1090.0,1090.0,0.0
3030540070040,1100.0,1500.0,0.0
0242100000130,1100.0,1000.0,0.0
3042100000060,1100.0,1000.0,0.0
1422350054160,1108.0,1108.0,0.0
3069090000081,1120.0,70400.0,0.0
0131340450530,1128.0,6322.0,0.0
2812350130010,1139.0,1139.0,0.0
3022180000461,1140.0,1140.0,0.0
3089050010030,1150.0,1150.0,0.0
0131340450030,1158.0,6462.0,0.0
0131340450050,1158.0,6462.0,0.0
0131340450411,1158.0,6462.0,0.0
2822100000092,1158.0,1158.0,0.0
3080290000020,1182.0,1182.0,0.0
3090060000020,1184.0,1184.0,0.0
3049010022780,1185.0,1185.0,0.0
3099020000030,1200.0,1200.0,0.0
0132300140280,1200.0,1200.0,0.0
3122140031200,1206.0,7675.0,0.0
3009040000040,1212.0,1212.0,0.0
3029170010060,1234.0,1234.0,0.0
2812350100041,1250.0,1250.0,0.0
3122110040203,1251.0,1251.0,0.0
3049250000930,1258.0,1258.0,0.0
2812350500030,1260.0,1260.0,0.0
0131340450070,1265.0,7050.0,0.0
2040350000200,1266.0,1266.0,0.0
3088350000020,1270.0,1270.0,0.0
3040100070023,1270.0,9000.0,0.0
3029170010440,1272.0,1272.0,0.0
3029190010720,1280.0,1280.0,0.0
0131370360090,1280.0,280.0,1000.0
0132310000050,1283.0,1283.0,0.0
3069240002060,1307.0,1307.0,0.0
3089270000012,1320.0,1320.0,0.0
3049280223150,1331.0,140375.0,0.0
3049280242210,1331.0,546000.0,0.0
3049280251310,1331.0,335000.0,0.0
3049280280980,1331.0,180995.0,0.0
3122140031352,1353.0,11600.0,0.0
0141210100140,1360.0,1360.0,0.0
3060290000202,1386.0,63000.0,0.0
2050020000930,1401.0,9482.0,0.0
3040020000140,1427.0,559860.0,0.0
3058300001690,1459.0,1459.0,0.0
3029170010760,1462.0,1462.0,0.0
3088100000141,1464.0,3570.0,0.0
3021230000010,1470.0,1470.0,0.0
3029190010080,1480.0,1480.0,0.0
2040360000010,1494.0,1494.0,0.0
3049130000070,1498.0,1498.0,0.0
3048070000065,1500.0,1500.0,0.0
3048070000066,1500.0,1500.0,0.0
3122140070420,1500.0,1500.0,0.0
3099050004570,1524.0,1524.0,0.0
3020130000020,1540.0,1540.0,0.0
0131330220711,1541.0,5604.0,0.0
0351050030030,1568.0,1568.0,0.0
3049260390010,1570.0,1570.0,0.0
2720330051150,1585.0,1585.0,0.0
2720330080610,1585.0,1585.0,0.0
